sqlparse|0.4.3|False|sqlparse|20.4%|A non-validating SQL parser.|26982468
cython|0.29.32|False|cython|0%|The Cython compiler for writing C extensions for the Python language.|26286156
msal|1.20.0b1|False|msal|32%|The Microsoft Authentication Library (MSAL) for Python library enables your app to access the Microsoft Cloud by supporting authentication of users with Microsoft Azure Active Directory accounts (AAD) and Microsoft Accounts (MSA) using industry standard OAuth2 and OpenID Connect.|25861411
pyspark|3.3.0|True|pyspark|39%|Apache Spark Python API|25803981
tzdata|2022.5|False|tzdata|100%|Provider of IANA time zone data|25617198
termcolor|2.0.1|True|termcolor|100%|ANSI color formatting for output in terminal|25352688
pycryptodomex|3.15.0|False|Cryptodome|25.8%|Cryptographic library for Python|24957481
gunicorn|20.1.0|False|gunicorn|36.3%|WSGI HTTP Server for UNIX|24764144
portalocker|2.6.0|True|portalocker|51.5%|Wraps the portalocker recipe for easy usage|24638746
kiwisolver|1.4.4|True|kiwisolver|100%|A fast implementation of the Cassowary constraint solver|24581635
sniffio|1.3.0|True|sniffio|100%|Sniff out which async library your code is running under|23992844
pexpect|4.8.0|False|pexpect|17.8%|Pexpect allows easy control of interactive console applications.|23584534
ptyprocess|0.7.0|False|ptyprocess|11.7%|Run a subprocess in a pseudo terminal|23407769
adal|1.2.7|False|adal|50.6%|Note: This library is already replaced by MSAL Python, available here: https://pypi.org/project/msal/ .ADAL Python remains available here as a legacy. The ADAL for Python library makes it easy for python application to authenticate to Azure Active Directory (AAD) in order to access AAD protected web resources.|23259479
keyring|23.9.3|True|keyring|20.3%|Store and access your passwords safely.|23126009
msgpack|1.0.4|False|msgpack|40.6%|MessagePack serializer|22849175
uritemplate|3.0.1|False|uritemplate|7.1%|URI templates|22828055
wcwidth|0.2.5|False|wcwidth|5.9%|Measures the displayed width of unicode strings in a terminal|22432005
pathspec|0.9.0|False|pathspec|26.4%|Utility library for gitignore style pattern matching of file paths.|22158762
pymongo|4.3.2|True|bson|79.7%|Python driver for MongoDB <http://www.mongodb.org>|21727534
pymongo|4.3.2|True|gridfs|63.4%|Python driver for MongoDB <http://www.mongodb.org>|21727534
pymongo|4.3.2|True|pymongo|47%|Python driver for MongoDB <http://www.mongodb.org>|21727534
regex|2022.3.2|False|regex|26.4%|Alternative regular expression module, to replace re.|21657962
scramp|1.4.1|False|scramp|31.9%|An implementation of the SCRAM protocol.|21606717
webencodings|0.5.1|False|webencodings|14.3%|Character encoding aliases for legacy web content|21476735
alembic|1.8.1|True|alembic|38.6%|A database migration tool for SQLAlchemy.|21092628
oscrypto|1.3.0|False|oscrypto|8%|TLS (SSL) sockets, key generation, encryption, decryption, signing, verification and KDFs using the OS crypto libraries. Does not require a compiler, and relies on the OS for patching. Works on Windows, OS X and Linux/BSD.|21033270
markdown|3.4.1|False|markdown|22.7%|Python implementation of Markdown.|21023200
dill|0.3.5.1|False|dill|14.3%|serialize all of python|20959404
mako|1.2.3|False|mako|16.4%|A super-fast templating language that borrows the best ideas from the existing templating languages.|20891653
tzlocal|4.2|False|tzlocal|5.9%|tzinfo object for the local timezone|20679217
ply|3.11|False|ply|23.1%|Python Lex & Yacc|20460342
isort|5.10.1|True|isort|67.6%|A Python utility / library to sort Python imports.|20460275
datadog|0.44.0|True|datadog|24.3%|The Datadog Python library|20434344
joblib|1.2.0|False|joblib|16.2%|Lightweight pipelining with Python functions|20364962
asynctest|0.13.0|False|asynctest|31.6%|Enhance the standard unittest package with features for testing asyncio libraries|19731859
marshmallow|3.18.0|True|marshmallow|41.7%|A lightweight library for converting complex datatypes to and from native Python datatypes.|19488086
h11|0.9.0|False|h11|1.3%|A pure-Python, bring-your-own-I/O implementation of HTTP/1.1|19399413
oauth2client|4.1.3|False|oauth2client|20.6%|OAuth 2.0 client library|19105877
pg8000|1.29.2|False|pg8000|52.3%|PostgreSQL interface library|18965265
secretstorage|3.3.3|True|secretstorage|62.7%|Python bindings to FreeDesktop.org Secret Service API|18797588
tenacity|8.1.0|True|tenacity|62.7%|Retry code until it succeeds|18666013
xlrd|2.0.1|False|xlrd|51%|Library for developers to extract data from Microsoft Excel (tm) .xls spreadsheet files|18481326
tornado|6.2|True|tornado|35.4%|Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.|18350278
jeepney|0.8.0|False|jeepney|20%|Low-level, pure Python DBus protocol wrapper.|17955559
pyathena|2.14.0|True|pyathena|67.6%|Python DB API 2.0 (PEP 249) client for Amazon Athena|17447230
networkx|2.8.7|False|networkx|3.3%|Python package for creating and manipulating graphs and networks|17270540
pbr|5.10.0|False|pbr|10.8%|Python Build Reasonableness|17035714
tensorboard|2.10.1|False|tensorboard|21.7%|TensorBoard lets you watch Tensors Flow|16821644
backoff|2.2.1|True|backoff|100%|Function decoration for backoff and retry|16492816
pkginfo|1.8.3|False|pkginfo|6.5%|Query metadatdata from sdists / bdists / installed packages.|16053993
defusedxml|0.7.1|False|defusedxml|19.9%|XML bomb protection for Python stdlib modules|15596726
toolz|0.12.0|False|tlz|0%|List processing tools and functional utilities|15434865
toolz|0.12.0|False|toolz|6.5%|List processing tools and functional utilities|15434865
ipython|8.5.0|False|IPython|11.8%|IPython: Productive Interactive Computing|15341205
flake8|5.0.4|False|flake8|75.7%|the modular source code checker: pep8 pyflakes and co|15241929
pyflakes|2.5.0|False|pyflakes|8.5%|passive checker of Python programs|14978355
traitlets|5.5.0|True|traitlets|9%None|14974758
progressbar2|4.1.1|False|progressbar|17.1%|A Python Progressbar library to provide visual (yet text based) progress to long running operations.|14862589
msrestazure|0.6.4|False|msrestazure|16.2%|AutoRest swagger generator Python client runtime. Azure-specific module.|14802828
elasticsearch|7.17.6|True|elasticsearch|84.1%|Python client for Elasticsearch|14801584
simplejson|3.17.6|False|simplejson|8.8%|Simple, fast, extensible JSON encoder/decoder for Python|14794618
fonttools|4.37.4|False|fontTools|20.1%|Tools to manipulate font files|14440220
awswrangler|2.17.0|True|awswrangler|47.1%|Pandas on AWS.|14341851
argcomplete|1.12.3|False|argcomplete|26.3%|Bash tab completion for argparse|14300643
jedi|0.18.1|False|jedi|68.1%|An autocompletion tool for Python that can be used for text editors.|14201602
tomlkit|0.11.5|True|tomlkit|50.9%|Style preserving TOML library|14014042
pycryptodome|3.15.0|False|Crypto|25.8%|Cryptographic library for Python|13970864
mlflow|1.29.0|False|mlflow|25.4%|MLflow: A Platform for ML Development and Productionization|13931504
mlflow|1.29.0|False|pylint_plugins|61.7%|MLflow: A Platform for ML Development and Productionization|13931504
sortedcontainers|2.4.0|False|sortedcontainers|2.6%|Sorted Containers -- Sorted List, Sorted Dict, Sorted Set|13855328
aioitertools|0.11.0|True|aioitertools|36.5%|itertools and builtins for AsyncIO and mixed iterables|13611540
libcst|0.4.7|True|libcst|58.6%|A concrete syntax tree with AST-like properties for Python 3.5, 3.6, 3.7, 3.8, 3.9, and 3.10 programs.|13566883
parso|0.8.3|True|parso|31.1%|A Python Parser|13407091
anyio|3.6.1|True|anyio|96.6%|High level compatibility layer for multiple asynchronous event loop implementations|13299617
gast|0.5.3|False|gast|23.2%|Python AST that abstracts the underlying Python version|13219435
aiofiles|22.1.0|False|aiofiles|11.9%|File support for asyncio.|13033912
backcall|0.2.0|False|backcall|66.7%|Specifications for callback functions passed in to an API|13030961
h5py|3.7.0|False|h5py|2.5%|Read and write HDF5 files from Python|12566568
html5lib|1.1|False|html5lib|18.3%|HTML parser based on the WHATWG HTML specification|12548565
babel|2.10.3|False|babel|15.7%|Internationalization utilities|12523064
lockfile|0.12.2|False|lockfile|34%|Platform-independent file locking module|12309251
black|22.10.0|True|black|64.2%|The uncompromising code formatter.|12176556
pyzmq|24.0.1|False|zmq|52.8%|Python bindings for 0MQ|12110066
astroid|2.12.11|False|astroid|25.1%|An abstract syntax tree for Python with inference support.|11921951
bleach|5.0.1|False|bleach|18.8%|An easy safelist-based HTML-sanitizing tool.|11852041
rich|12.6.0|True|rich|60.6%|Render rich text, tables, progress bars, syntax highlighting, markdown and more to the terminal|11693875
imageio|2.22.2|True|imageio|32.1%|Library for reading and writing a wide range of image, video, scientific, and volumetric data formats.|11685997
cachecontrol|0.12.11|False|cachecontrol|9.7%|httplib2 caching for requests|11621728
configparser|5.3.0|False|backports|14.6%|Updated configparser from stdlib for earlier Pythons.|11446201
rfc3986|1.5.0|False|rfc3986|45.3%|Validating URI References per RFC 3986|11378156
